user_id,course_id,due,experience,hours,location,resp_time,datetime_utc
u10,cs50,2,3,7,"43.70168352,-72.28807511",1365041229,2013-04-04 02:07:09+00:00
u10,cs65,2,3,2,"43.70785919,-72.28512608",1365114368,2013-04-04 22:26:08+00:00
u10,bio4,2,1,3,"43.70173422,-72.28775943",1365125451,2013-04-05 01:30:51+00:00
u10,cs50,2,1,6,"43.70173422,-72.28775943",1365201066,2013-04-05 22:31:06+00:00
u10,cs65,1,3,4,"43.70238375,-72.28772441",1365468590,2013-04-09 00:49:50+00:00
u10,cs50,2,3,4,"43.70278942,-72.28658418",1365473729,2013-04-09 02:15:29+00:00
u10,bio4,2,5,1,"43.70278942,-72.28658418",1365553987,2013-04-10 00:33:07+00:00
u10,cs65,2,1,3,"43.70278942,-72.28658418",1365641932,2013-04-11 00:58:52+00:00
u10,cs50,2,3,6,"43.70278942,-72.28658418",1365656966,2013-04-11 05:09:26+00:00
u10,bio4,2,4,3,"43.70278942,-72.28658418",1365726192,2013-04-12 00:23:12+00:00
u10,cs65,2,3,4,"43.70278942,-72.28658418",1365819308,2013-04-13 02:15:08+00:00
u10,cs50,2,4,6,"43.70278942,-72.28658418",1365834098,2013-04-13 06:21:38+00:00
u10,cs50,2,1,6,"43.70278942,-72.28658418",1365897952,2013-04-14 00:05:52+00:00
u10,cs65,1,2,1,"43.7050225,-72.28939767",1366093088,2013-04-16 06:18:08+00:00
u10,cs50,2,3,7,"43.7050225,-72.28939767",1366093117,2013-04-16 06:18:37+00:00
u10,cs50,2,3,2,"43.7050225,-72.28939767",1366159124,2013-04-17 00:38:44+00:00
u10,cs64,2,3,3,"43.7050225,-72.28939767",1366247116,2013-04-18 01:05:16+00:00
u10,cs50,2,3,4,"43.7050225,-72.28939767",1366259427,2013-04-18 04:30:27+00:00
u10,cs65,2,1,6,"43.70665284,-72.28802865",1366409018,2013-04-19 22:03:38+00:00
u10,cs50,2,3,1,"43.70665284,-72.28802865",1366409036,2013-04-19 22:03:56+00:00
u10,cs65,1,1,1,"43.70405592,-72.28746765",1366595754,2013-04-22 01:55:54+00:00
u10,cs65,1,3,1,"43.70324408,-72.28961597",1366661859,2013-04-22 20:17:39+00:00
u10,cs50,2,2,5,"43.70324408,-72.28961597",1366683615,2013-04-23 02:20:15+00:00
u10,bio4,2,1,1,"43.70324408,-72.28961597",1366757405,2013-04-23 22:50:05+00:00
u10,cs50,2,3,6,"43.70324408,-72.28961597",1366768073,2013-04-24 01:47:53+00:00
u10,cs50,2,1,10,"43.70324408,-72.28961597",1366855284,2013-04-25 02:01:24+00:00
u12,"GH
",1,1,1,"43.70618903,-72.28722948",1364359282,2013-03-27 04:41:22+00:00
u12,cs50,2,3,1,"43.70640895,-72.2882317",1364420335,2013-03-27 21:38:55+00:00
u12,cs 89,2,3,1,"43.637604,-72.24834382",1364430343,2013-03-28 00:25:43+00:00
u12,cs66,2,3,7,"43.68470585,-72.26924658",1364516556,2013-03-29 00:22:36+00:00
u12,tuck 003,2,1,1,"43.63731604,-72.24852742",1364537813,2013-03-29 06:16:53+00:00
u12,cs89,2,3,4,"43.70977927,-72.28303993",1364588764,2013-03-29 20:26:04+00:00
u12,tuck3,2,4,3,"43.63745411,-72.24846941",1365003202,2013-04-03 15:33:22+00:00
u12,cs50,2,3,7,"42.63750503,-71.18233284",1365219636,2013-04-06 03:40:36+00:00
