user_id,level,location,resp_time,datetime_utc
u03,1,"43.70532515,-72.28309713",1366999694,2013-04-26 18:08:14+00:00
u03,2,"43.70575204,-72.282746",1367179227,2013-04-28 20:00:27+00:00
u03,3,"43.70525765,-72.28314671",1367193635,2013-04-29 00:00:35+00:00
u03,3,"43.70532069,-72.28315218",1367208006,2013-04-29 04:00:06+00:00
u03,4,"43.70530578,-72.28310068",1367266699,2013-04-29 20:18:19+00:00
u03,5,"43.70544773,-72.2831871",1367300082,2013-04-30 05:34:42+00:00
u03,1,"43.70579533,-72.28356911",1368387312,2013-05-12 19:35:12+00:00
u04,1,"43.70200674,-72.28525688",1364359305,2013-03-27 04:41:45+00:00
u04,4,"43.70224001,-72.28841753",1364423252,2013-03-27 22:27:32+00:00
u04,1,"43.70406072,-72.28534671",1364437349,2013-03-28 02:22:29+00:00
u04,1,"43.70313779,-72.28452113",1364569822,2013-03-29 15:10:22+00:00
u04,2,"43.70326123,-72.28745298",1364573027,2013-03-29 16:03:47+00:00
u04,1,"43.70414142,-72.28932127",1364598093,2013-03-29 23:01:33+00:00
u04,1,"43.70315377,-72.28626052",1364682927,2013-03-30 22:35:27+00:00
u04,1,"43.70315377,-72.28626052",1364758399,2013-03-31 19:33:19+00:00
u04,1,Unknown,1364762185,2013-03-31 20:36:25+00:00
u04,1,Unknown,1364774159,2013-03-31 23:55:59+00:00
u04,3,"43.7058173,-72.29660835",1364871206,2013-04-02 02:53:26+00:00
u04,1,"43.7058173,-72.29660835",1364923438,2013-04-02 17:23:58+00:00
u04,2,"43.70373286,-72.28814449",1364948274,2013-04-03 00:17:54+00:00
u04,2,"43.70406845,-72.28722573",1365003955,2013-04-03 15:45:55+00:00
u04,1,"43.70500049,-72.28555637",1365089901,2013-04-04 15:38:21+00:00
u04,2,"43.7030204,-72.28507159",1365175514,2013-04-05 15:25:14+00:00
u04,1,"43.70472132,-72.28861869",1365213537,2013-04-06 01:58:57+00:00
u04,1,"43.70419632,-72.28592597",1365294144,2013-04-07 00:22:24+00:00
u04,1,"43.70400146,-72.28561947",1365353389,2013-04-07 16:49:49+00:00
u04,1,Unknown,1365386588,2013-04-08 02:03:08+00:00
u04,1,"43.70449075,-72.28617485",1365520678,2013-04-09 15:17:58+00:00
u04,3,"43.70417131,-72.28591047",1365721600,2013-04-11 23:06:40+00:00
u04,2,"43.70414785,-72.28568415",1365991302,2013-04-15 02:01:42+00:00
u04,3,"43.70414785,-72.28568415",1366067037,2013-04-15 23:03:57+00:00
u04,3,"43.70596983,-72.29501146",1366084885,2013-04-16 04:01:25+00:00
u04,2,"43.70596983,-72.29501146",1366099532,2013-04-16 08:05:32+00:00
u04,1,"43.70546416,-72.29837819",1366186602,2013-04-17 08:16:42+00:00
u04,1,"43.70404253,-72.28545089",1366275750,2013-04-18 09:02:30+00:00
u04,1,"43.702712149999996,-72.28760414",1366609455,2013-04-22 05:44:15+00:00
u04,1,"40.85177617,-74.01394775",1366609455,2013-04-22 05:44:15+00:00
u04,1,"43.70623282,-72.28816572",1366614533,2013-04-22 07:08:53+00:00
u04,3,"43.704368529999996,-72.28622805",1366862709,2013-04-25 04:05:09+00:00
u04,3,"43.70415952,-72.28581184",1366965454,2013-04-26 08:37:34+00:00
u04,3,"43.70403989,-72.28593925",1367000252,2013-04-26 18:17:32+00:00
u04,3,"43.70414602,-72.29169963",1367183650,2013-04-28 21:14:10+00:00
u04,3,"43.70427846,-72.28612238",1367250838,2013-04-29 15:53:58+00:00
u04,3,"43.70427846,-72.28612238",1367272489,2013-04-29 21:54:49+00:00
u04,3,"43.70514579,-72.29019144",1367286464,2013-04-30 01:47:44+00:00
u04,3,"43.70344161,-72.28587472",1367300942,2013-04-30 05:49:02+00:00
u04,2,"43.70295827,-72.28971993",1367899398,2013-05-07 04:03:18+00:00
u04,2,"43.70411079,-72.28591883",1367949703,2013-05-07 18:01:43+00:00
u04,1,"43.70414535,-72.2880891",1367988464,2013-05-08 04:47:44+00:00
u04,3,"43.70386255,-72.2897578",1368079040,2013-05-09 05:57:20+00:00
u05,4,"43.70751491,-72.28694759",1364409301,2013-03-27 18:35:01+00:00
u05,4,"43.70751491,-72.28694759",1364415083,2013-03-27 20:11:23+00:00
u05,5,"43.70751491,-72.28694759",1364425922,2013-03-27 23:12:02+00:00
u05,4,"43.70751491,-72.28694759",1364501283,2013-03-28 20:08:03+00:00
u05,1,"43.70751491,-72.28694759",1364508216,2013-03-28 22:03:36+00:00
u05,4,"43.70751491,-72.28694759",1364605380,2013-03-30 01:03:00+00:00
