user_id,resp_time,datetime_utc,sleep_hours,sleep_quality,sleepiness,location
u08,1364123064,2013-03-24 11:04:24+00:00,,,,
u08,1364123065,2013-03-24 11:04:25+00:00,,,,
u08,1364123067,2013-03-24 11:04:27+00:00,,,,
u08,1364123069,2013-03-24 11:04:29+00:00,,,,
u08,1364354148,2013-03-27 03:15:48+00:00,6,2,1,Unknown
u08,1364403998,2013-03-27 17:06:38+00:00,6,2,1,Unknown
u08,1364418528,2013-03-27 21:08:48+00:00,6,1,1,"43.70227295,-72.28989198"
u08,1364499508,2013-03-28 19:38:28+00:00,10,3,1,"43.70528743,-72.29155419"
u08,1364578978,2013-03-29 17:42:58+00:00,6,3,1,"43.70350954,-72.28608081"
u08,1364675864,2013-03-30 20:37:44+00:00,10,2,1,"43.70350954,-72.28608081"
u08,1364755705,2013-03-31 18:48:25+00:00,7,3,1,"43.70203852,-72.28684389"
u08,1364834967,2013-04-01 16:49:27+00:00,6,2,1,"43.70326445,-72.28627025"
u08,1364939166,2013-04-02 21:46:06+00:00,8,2,1,"43.7029938,-72.28634884"
u08,1365010638,2013-04-03 17:37:18+00:00,6,3,1,"43.70237031,-72.28787598"
u08,1365104677,2013-04-04 19:44:37+00:00,8,2,1,"43.70301411,-72.28619057"
u08,1365185713,2013-04-05 18:15:13+00:00,6,3,2,"43.70342734,-72.28638739"
u08,1365298056,2013-04-07 01:27:36+00:00,6,3,1,"43.04882397,-71.72452648"
u08,1365389717,2013-04-08 02:55:17+00:00,8,1,1,"43.70278047,-72.28749202"
u08,1365590048,2013-04-10 10:34:08+00:00,8,1,1,"43.70731779,-72.2868045"
u08,1365616151,2013-04-10 17:49:11+00:00,6,2,1,"43.70370174,-72.28680811"
u08,1365733247,2013-04-12 02:20:47+00:00,7,1,1,"43.70314121,-72.28659035"
u08,1365917947,2013-04-14 05:39:07+00:00,8,1,1,"43.70360138,-72.28652466"
u08,1365998844,2013-04-15 04:07:24+00:00,10,1,1,"43.70343873,-72.28651243"
u08,1366085547,2013-04-16 04:12:27+00:00,7,3,1,"43.70396504,-72.28927469"
u08,1366139752,2013-04-16 19:15:52+00:00,9,2,1,"43.70322923,-72.28831716"
u08,1366265178,2013-04-18 06:06:18+00:00,5,3,2,"43.70430223,-72.29046297"
u08,1366317241,2013-04-18 20:34:01+00:00,8,2,2,"43.70430223,-72.29046297"
u08,1366489241,2013-04-20 20:20:41+00:00,7,1,1,"43.70518194,-72.28800233"
u08,1366575687,2013-04-21 20:21:27+00:00,6,1,1,"43.70406215,-72.28755806"
u08,1366652271,2013-04-22 17:37:51+00:00,0,4,1,"43.7052687,-72.28811786"
u08,1366698638,2013-04-23 06:30:38+00:00,0,4,1,"43.7052687,-72.28811786"
u08,1366758117,2013-04-23 23:01:57+00:00,8,1,1,"43.70434734,-72.28679491"
u08,1366851436,2013-04-25 00:57:16+00:00,8,1,1,"43.70440204,-72.29052256"
u08,1366926953,2013-04-25 21:55:53+00:00,9,1,1,"43.70354857,-72.28679727"
u08,1367022674,2013-04-27 00:31:14+00:00,7,2,1,"43.70295661,-72.28995533"
u08,1367399820,2013-05-01 09:17:00+00:00,6,2,1,"43.70708811,-72.28767562"
u08,1367602871,2013-05-03 17:41:11+00:00,8,1,1,"43.70502255,-72.28804551"
u08,1367745585,2013-05-05 09:19:45+00:00,8,1,1,"43.7037094,-72.28660102"
u08,1367898809,2013-05-07 03:53:29+00:00,8,1,1,"43.7049437,-72.28880281"
u08,1368136731,2013-05-09 21:58:51+00:00,1,1,1,"43.70454326,-72.2895076"
u08,1368136740,2013-05-09 21:59:00+00:00,12,1,1,"43.70454326,-72.2895076"
u08,1368307369,2013-05-11 21:22:49+00:00,15,1,1,"43.70527997,-72.2896421"
u08,1368640174,2013-05-15 17:49:34+00:00,7,2,1,"43.70531628,-72.29101359"
u08,1368997303,2013-05-19 21:01:43+00:00,9,2,2,"43.70573461,-72.28972765"
u08,1369316386,2013-05-23 13:39:46+00:00,1,3,3,"43.70447785,-72.29155849"
u09,1364118785,2013-03-24 09:53:05+00:00,,,,
u09,1364119736,2013-03-24 10:08:56+00:00,,,,
u09,1364120294,2013-03-24 10:18:14+00:00,,,,
u09,1364121005,2013-03-24 10:30:05+00:00,,,,
u09,1364121851,2013-03-24 10:44:11+00:00,,,,
u09,1364407423,2013-03-27 18:03:43+00:00,8,1,1,"43.70704889,-72.28891638"
u09,1364493500,2013-03-28 17:58:20+00:00,8,2,1,"43.70712567,-72.28877234"
u09,1364580056,2013-03-29 18:00:56+00:00,8,2,1,"43.70869749,-72.28451668"
u10,1364118559,2013-03-24 09:49:19+00:00,,,,
u10,1364119446,2013-03-24 10:04:06+00:00,,,,
u10,1364120395,2013-03-24 10:19:55+00:00,,,,
u10,1364120891,2013-03-24 10:28:11+00:00,,,,
u10,1364121096,2013-03-24 10:31:36+00:00,,,,
u10,1364121767,2013-03-24 10:42:47+00:00,,,,
